sal_5_lc2vs0_iate,emplx2_4
-54766.726933848535,2.0
-41413.195456283865,2.0
-34091.34259616438,2.0
-32469.271067910955,2.0
-54927.490690077604,1.0
-57389.9204764816,2.0
-55877.35000863322,1.0
-36792.01156735611,2.0
-55398.932277917804,2.0
-38943.12351971055,2.0
-39864.1106716816,2.0
-28596.413759058596,2.0
-60550.80640833221,2.0
-31374.760551440566,2.0
-50126.200210622774,2.0
-41096.69278549947,2.0
-37432.63442104671,2.0
-52491.99341423507,2.0
-29221.398805773177,2.0
-51986.86123558468,2.0
-50665.76135500006,3.0
-43611.50446925066,2.0
-38960.767030979485,2.0
-30182.19197143699,2.0
-44002.68352953189,2.0
-52296.89761674216,2.0
-56545.452278572375,2.0
-51659.57263205855,2.0
-34912.845481867014,2.0
-30394.991546714224,2.0
-55210.79585532325,2.0
-45314.943382418394,2.0
-45701.52394466546,2.0
-34701.91175948195,2.0
-60672.94457311327,2.0
-37952.1105548299,2.0
-50374.74332741147,2.0
-31704.67228474959,2.0
-42327.19908077008,2.0
-50366.3321242972,2.0
-31251.270175556772,2.0
-42793.2846417296,2.0
-38974.24598413349,2.0
-40406.4167087445,2.0
-59001.31917561736,2.0
-48211.94549755275,2.0
-53256.96902039188,2.0
-55153.56546992407,2.0
-40238.9957043749,2.0
-37624.2904469934,2.0
-42274.67087459546,2.0
-62164.259194059734,2.0
-39667.33855062847,2.0
-52014.77129809445,2.0
-42663.7279547773,2.0
-32640.73627842037,2.0
-43238.18087518902,2.0
-54252.249936752225,2.0
-33334.59829274801,2.0
-31823.39801214051,2.0
-43780.51205337726,2.0
-52248.53102550644,2.0
-55057.42840722152,2.0
-62651.83054914286,2.0
-30761.444930302412,2.0
-51274.14789678804,2.0
-28788.668179412765,2.0
-60119.619066311585,2.0
-41640.102321285536,2.0
-53467.22610338758,2.0
-50730.84308675653,2.0
-60527.72596346497,2.0
-31904.362523116746,2.0
-41503.91135932377,2.0
-32551.88329793313,2.0
-58923.56160052892,2.0
-31215.841151391505,2.0
-34697.748225772535,2.0
-62323.205092380085,2.0
-31216.21464160476,2.0
-39129.47066695505,2.0
-40820.982509502064,2.0
-46323.33266134393,2.0
-32417.749412483645,2.0
-36459.74593653593,2.0
-59821.210136474416,2.0
-52378.09714171653,2.0
-30694.714537425956,2.0
-54697.9185427256,2.0
-41171.57488402021,2.0
-57986.42254048781,2.0
-42980.22223180061,2.0
-59316.621832837845,2.0
-50086.66028685759,2.0
-43659.32483401624,2.0
-52447.27530406219,2.0
-34224.785418814914,2.0
-59490.235588855765,2.0
-54685.61951294278,2.0
-42209.24786724504,2.0
-36439.21384011111,2.0
-38420.18315601151,2.0
-50287.10396309861,2.0
-33538.64605089208,2.0
-54922.14816032328,2.0
-28771.83868331985,2.0
-41566.31556162753,2.0
-41729.36190838968,2.0
-30303.19001635342,2.0
-30971.535278098534,2.0
-61640.08223484293,2.0
-43706.60639052616,2.0
-31312.143512975563,1.0
-58777.9993838232,2.0
-59396.82876592381,2.0
-58605.38612126701,2.0
-54173.93622781098,2.0
-48203.087990308086,2.0
-36706.41293495586,2.0
-41252.97428597145,2.0
-59607.62738141026,2.0
-34228.46577858093,2.0
-36090.85972234757,2.0
-51286.32346384805,2.0
-29133.956072401765,2.0
-35772.792306825184,2.0
-58661.88934686986,2.0
-37835.46915149411,2.0
-28589.386403471286,2.0
-34945.526066029386,2.0
-45919.3743397394,2.0
-36935.29135171294,2.0
-36554.641972582176,2.0
-41802.934438511395,2.0
-35318.392965279134,2.0
-45999.32955195254,2.0
-42435.530973341825,2.0
-59748.96309965047,2.0
-45665.31358212522,2.0
-52460.170736522996,2.0
-51859.328809365135,2.0
-55584.94084572646,2.0
-53132.5203526928,2.0
-56358.4396672282,2.0
-51135.052190049486,2.0
-28482.677985806433,2.0
-50821.59223354857,2.0
-35380.60770382152,2.0
-33013.08221780132,2.0
-50183.74091684387,2.0
-43205.57509736745,2.0
-31612.74166475369,2.0
-46704.817711159296,2.0
-41128.92407936568,2.0
-37531.557321233915,2.0
-42429.73100793613,2.0
-43691.548086423696,2.0
-50601.829310322,2.0
-45935.04049140933,2.0
-29397.00890420819,2.0
-57343.202863962484,2.0
-51738.066968725136,2.0
-40702.56896795514,2.0
-53151.73381818073,2.0
-39053.330592124854,2.0
-60802.72070355086,2.0
-54263.14238906718,2.0
-57446.850140371535,2.0
-37373.10408515264,2.0
-44766.04315102435,2.0
-43017.294075881364,2.0
-51423.39196408389,2.0
-55091.652510234344,2.0
-32015.384040561094,2.0
-63067.97220150839,2.0
-30165.02175256297,2.0
-45912.93807434887,2.0
-37297.45991755476,2.0
-59644.76009299832,2.0
-48355.985403433966,2.0
-59991.60497889084,2.0
-57282.54457584222,2.0
-30181.415629577557,2.0
-60647.179740427324,2.0
-50684.91417180546,2.0
-58311.41424339509,2.0
-55829.14887766867,1.0
-52540.70581406061,2.0
-49873.17072216084,2.0
-55452.761735022206,2.0
-53720.306714589475,2.0
-46053.34056726598,2.0
-33465.08709001107,1.0
-28640.639015597197,2.0
-40979.83910366209,1.0
-58761.55175783551,2.0
-37635.01504533409,2.0
-40445.1419957479,2.0
-56010.16579163025,2.0
-31371.930982226473,2.0
-39124.4370569916,2.0
-47561.61514914325,2.0
-30805.77045990318,2.0
-55044.67172263586,2.0
-40328.820057502526,2.0
-42607.31823389546,2.0
-39224.51365044079,2.0
-35137.02375118504,2.0
-36393.256550058104,2.0
-54237.66706017104,2.0
-49732.246937498494,2.0
-52571.790250361984,2.0
-34133.02854636857,2.0
-38342.94759502422,2.0
-39793.675739769,2.0
-54171.791310309614,2.0
-35186.12318212549,2.0
-59041.6502330114,1.0
-37383.6398892759,2.0
-36567.176838289386,2.0
-43423.63358862846,2.0
-29488.608618845297,2.0
-51786.956434447624,2.0
-28728.021933360615,2.0
-44026.75767679905,2.0
-32310.802899377093,2.0
-41383.61880264395,1.0
-40783.6995305758,2.0
-59604.95862828419,2.0
-42211.67720078374,2.0
-36491.59824294337,2.0
-35541.41863641261,2.0
-55644.27422154047,2.0
-42164.90732020772,2.0
-48644.24264766914,2.0
-37035.662939592294,2.0
-29520.778104798494,2.0
-60175.80177226868,2.0
-40467.35927284875,2.0
-35694.25849234307,2.0
-62535.5720954726,2.0
-55810.86372258664,1.0
-29325.890709384163,2.0
-58109.17368147272,2.0
-39350.13019037228,2.0
-53335.49326033819,2.0
-29183.76418870538,2.0
-58296.14480818972,2.0
-30173.239978544316,2.0
-44573.750430446555,2.0
-44590.831254360586,2.0
-39354.374449837094,2.0
-30920.918674212055,2.0
-40902.81547857896,2.0
-33722.02366983725,2.0
-28854.573966013377,2.0
-48790.76135267955,2.0
-60781.19616872598,2.0
-52932.13723819622,2.0
-43769.29207097238,2.0
-41164.99230156542,2.0
-33156.33508692235,2.0
-37313.19816950017,2.0
-29603.666016667165,2.0
-55182.83919534911,2.0
-38453.14354407356,2.0
-35437.71948990795,2.0
-52922.93532643164,2.0
-57302.37074731577,2.0
-57058.1761482939,2.0
-50129.63850371418,2.0
-42082.858450893786,2.0
-54230.424815575636,2.0
-37387.5785147757,2.0
-42078.48440957941,2.0
-56017.179490187526,2.0
-32836.27976691229,2.0
-28102.446351187573,2.0
-52988.10257254014,2.0
-34396.28496183982,2.0
-42145.32242601464,2.0
-32948.94718686836,2.0
-41277.73494444862,2.0
-31640.07548181239,2.0
-43250.48640211301,2.0
-42544.2053776624,2.0
-62501.94591845115,2.0
-47980.29364726345,2.0
-53438.377904608744,2.0
-29290.476062290163,2.0
-40546.71059545014,2.0
-38466.564150677725,1.0
-58702.821159321946,2.0
-58480.35948481485,2.0
-43224.34900652067,2.0
-36467.44082863019,2.0
-31234.72155788962,2.0
-57692.21915317521,2.0
-58933.429036826215,2.0
-43052.07945758381,2.0
-36144.89034667432,2.0
-42214.54912260525,2.0
-55598.190261799464,2.0
-60489.820082307764,2.0
-43678.24247446907,2.0
-31059.280225307037,2.0
-41466.58461700555,2.0
-30396.022349913856,2.0
-28635.090241840837,2.0
-38522.59997101303,2.0
-59679.207332003585,1.0
-52001.59498246189,2.0
-43279.97668571702,2.0
-55735.579058566946,2.0
-32517.952751827776,2.0
-60948.49754062819,2.0
-57910.79032323444,2.0
-60047.05667860758,2.0
-44375.274649755076,1.0
-41835.65035885676,2.0
-32099.662672253806,2.0
-40572.73983736985,1.0
-34874.36897592294,2.0
-47894.74336803074,2.0
-30640.564736759134,2.0
-55694.536859183136,2.0
-46928.419750739704,2.0
-29451.477646693096,2.0
-53387.2926030589,2.0
-49018.378567729254,2.0
-34647.489120397804,2.0
-36416.55378650219,2.0
-28602.969904015907,2.0
-40356.53827605245,2.0
-32861.938960056556,2.0
-51773.382343935984,2.0
-52914.13454117397,2.0
-46610.17439979459,2.0
-42091.33639710627,2.0
-30901.25374034355,2.0
-42254.26043688934,2.0
-54559.34706519151,2.0
-48434.18888204609,2.0
-41089.78652528753,2.0
-57994.8030801893,2.0
-45271.04561853029,2.0
-59000.98318400991,2.0
-44551.60134630702,2.0
-30699.25701478583,2.0
-40867.407607107816,2.0
-42890.84254643809,2.0
-56053.220023682836,2.0
-29172.57395128511,2.0
-30911.275691296134,2.0
-46553.30568968046,2.0
-43091.510091269876,2.0
-52589.69361914155,2.0
-33073.934661387924,2.0
-40211.809132907656,2.0
-46709.67457756543,2.0
-41235.67204959024,2.0
-57446.30800250352,2.0
-44978.97043082993,2.0
-42441.752534044244,2.0
-39111.03979245308,2.0
-51023.83075267968,2.0
-49158.68133972831,2.0
-53444.653703814554,2.0
-31211.56251032236,2.0
-57197.76854951593,2.0
-37638.24378512871,2.0
-56827.722703381965,2.0
-51702.140276086866,2.0
-61536.27535225736,2.0
-47661.78979147467,2.0
-41538.310929720974,2.0
-38724.72872240059,2.0
-28345.34405806085,2.0
-35423.81633280586,2.0
-29489.681943211075,2.0
-32283.700545100248,2.0
-36648.904079690066,2.0
-40183.8112355442,2.0
-54739.494656630384,2.0
-40804.43216133442,2.0
-30865.740233437988,2.0
-49137.74947826976,2.0
-30770.33991342102,2.0
-57221.72009630798,2.0
-48374.75254426619,2.0
-39472.80878213661,2.0
-30113.647786057812,2.0
-43678.168887176675,2.0
-30492.88979396741,2.0
-62394.962290977186,2.0
-32844.58450105405,2.0
-53778.402417827136,2.0
-29416.973318355864,2.0
-51640.03909077295,2.0
-38100.545855876495,2.0
-38716.86419690672,2.0
-47432.51331535808,2.0
-52590.755146406475,2.0
-55283.71172597821,2.0
-57588.0175394682,2.0
-40835.42107034304,2.0
-56230.997156075886,2.0
-32108.687433816194,2.0
-41665.96768080083,2.0
-37091.895350255145,2.0
-55393.85574817416,2.0
-39768.27373576281,2.0
-59654.66018840205,2.0
-54862.47144879313,2.0
-35904.919956558624,2.0
-53188.78302240844,2.0
-52179.478591772495,2.0
-47839.017962302605,2.0
-39661.335889040995,2.0
-36504.93909631015,2.0
-34944.140136400194,2.0
-33154.169353285404,2.0
-52792.358715127586,2.0
-29592.551486973047,2.0
-53809.2910297924,2.0
-55000.27688989549,2.0
-29516.09798359116,2.0
-55981.95600651821,2.0
-50112.936006178934,2.0
-29259.307018205007,2.0
-45002.17922186604,2.0
-54754.7027833786,2.0
-34389.54761327584,2.0
-49723.4364518629,2.0
-52768.16732906219,2.0
-42425.58400365441,2.0
-37570.21938458024,2.0
-28472.308416532305,2.0
-30114.88003672752,1.0
-40323.382812038064,2.0
-57457.67453208958,2.0
-59261.76396676236,2.0
-31544.546256429418,2.0
-59340.20684653721,2.0
-46655.08680652478,2.0
-59855.99484700586,1.0
-43940.46728764572,2.0
-33448.758327223804,2.0
-28547.11184444002,2.0
-40628.025873931634,2.0
-40179.49948740159,2.0
-40004.44462582783,2.0
-48605.05193896657,2.0
-32800.47844276104,2.0
-61458.45340528108,2.0
-37926.99866039834,2.0
-59312.741641132416,2.0
-30095.31346054504,2.0
-57081.62389824999,2.0
-53924.94323592739,2.0
-39714.15294658809,2.0
-39060.71759872596,2.0
-58091.29109448372,2.0
-46598.44641888968,2.0
-41357.419881096386,2.0
-38398.87458567514,2.0
-51214.274847945955,2.0
-38786.03791666984,2.0
-59321.10533866542,2.0
-29570.95244446349,2.0
-55278.103360590016,2.0
-32423.41376551493,2.0
-36423.939832865835,2.0
-45907.26079526348,2.0
-31291.632667714024,2.0
-60198.040457002586,2.0
-40463.4296919785,2.0
-59170.14352073849,2.0
-50604.24959689607,2.0
-44454.15328465455,2.0
-37169.72063225992,2.0
-61624.87148928823,2.0
-55297.115788342126,2.0
-56503.24917597134,2.0
-29661.295179314067,2.0
-57106.71227553868,2.0
-56878.68832367925,2.0
-62571.09028741787,2.0
-56824.61751413417,2.0
-32566.676156568567,1.0
-33087.65492750659,2.0
-41098.876448567375,2.0
-46416.10675486471,2.0
-34942.599213359346,2.0
-42136.37532263064,2.0
-29012.460816509825,2.0
-39411.25071214297,2.0
-40957.55190465215,2.0
-57931.47023276219,2.0
-61133.07143552332,2.0
-56754.89757311215,2.0
-34126.764463420506,2.0
-33723.452751928635,2.0
-52684.48111925079,2.0
-45743.34077222515,2.0
-42614.01679202673,2.0
-62348.68389286651,2.0
-61345.42719239964,2.0
-32775.02734496645,2.0
-34644.23233149899,2.0
-56913.95208181525,2.0
-40279.27318815654,2.0
-40308.25656392217,2.0
-50900.757932889945,2.0
-29745.72295111011,2.0
-43208.85033972497,2.0
-43809.04564549462,2.0
-55601.23466366978,2.0
-28562.791957960697,2.0
-43297.016569565436,2.0
-47598.614053236524,2.0
-29651.55145734052,2.0
-35573.98099352649,2.0
-42278.20123251068,2.0
-46459.70596401503,2.0
-61886.60003349921,2.0
-35385.3304859285,2.0
-42261.630529210066,2.0
-56073.20737384665,2.0
-35270.43753358657,2.0
-32460.12463225674,2.0
-58329.696420916334,2.0
-30617.744754724474,2.0
-42660.842742513356,2.0
-35435.11761487975,2.0
-32998.25278978597,2.0
-58870.24593319163,2.0
-51848.76994035659,2.0
-57414.95878929569,2.0
-47305.49116749143,2.0
-42089.09539758311,2.0
-55194.44434965281,2.0
-46491.523419242614,2.0
-30868.435195398994,2.0
-59230.896315726626,2.0
-56816.908615446824,2.0
-45936.893478505124,2.0
-29588.14626187977,2.0
-33122.61379781825,2.0
-41891.34139270513,2.0
-57241.86872776688,2.0
-60133.12793348129,2.0
-30941.967418355238,2.0
-38298.63214125368,2.0
-45031.07741807825,2.0
-43397.4289647315,2.0
-42228.12389730721,2.0
-29314.08739513091,2.0
-55655.827195942155,2.0
-34376.63965992061,1.0
-40606.59001563628,2.0
-59826.69538370381,2.0
-39496.92660681013,2.0
-45716.90820735856,2.0
-52742.22828010362,2.0
-51881.19746850149,2.0
-37831.014154565535,2.0
-38020.9462169527,2.0
-37580.57730498747,1.0
-58794.90444650002,2.0
-47451.81512729967,2.0
-41770.478032521496,2.0
-46278.75026657763,2.0
-58291.966797193396,2.0
-47262.2242161892,2.0
-44256.19486790791,2.0
-57903.44619185268,2.0
-38280.594791170275,2.0
-59422.31138797691,2.0
-54857.44537705304,2.0
-56003.39030603291,2.0
-51332.153843423446,1.0
-60777.23570885285,2.0
-31415.22392491171,2.0
-45730.64164606569,2.0
-40036.08581669844,3.0
-45114.4542843823,2.0
-30122.887076611783,2.0
-45178.81104498865,2.0
-33757.78722655882,2.0
-33700.9849804248,2.0
-41095.35207475719,2.0
-54689.02754297521,2.0
-39457.97726596416,2.0
-44567.62244716339,2.0
-36914.39809055797,2.0
-35011.368470435744,2.0
-53385.72789583864,2.0
-34876.738905298465,2.0
-30655.33798489353,2.0
-29867.495367373915,2.0
-52104.693431448126,2.0
-34682.2095932011,2.0
-54070.98478063929,2.0
-49395.5452714828,2.0
-60099.91277530349,2.0
-43845.32770523433,2.0
-40656.284383220125,2.0
-46687.10991851187,2.0
-39894.49989854714,2.0
-49314.688127778354,2.0
-31195.148221065818,2.0
-29055.132142665774,2.0
-52862.599872880724,1.0
-59393.538316733386,2.0
-30459.958614468356,2.0
-58158.16200888911,2.0
-54455.54264037471,2.0
-28132.514864402,2.0
-31163.95477265943,2.0
-43714.69913804914,2.0
-45993.05718947068,2.0
-46755.33933842633,2.0
-32791.070628040936,2.0
-57489.66640325302,2.0
-42284.26966539349,2.0
-57751.52469971366,2.0
-50986.28904637742,2.0
-38496.39904388263,2.0
-40086.35243170708,2.0
-54428.811015913714,2.0
-29801.022876045045,2.0
-31213.482376492735,2.0
-45941.11600332495,2.0
-51617.386375781614,2.0
-55590.84243464353,2.0
-31379.391608533664,2.0
-38738.034725575424,2.0
-61140.4823811193,2.0
-38647.62468337738,2.0
-43856.84364589879,2.0
-35628.290294684266,2.0
-52543.06059409767,2.0
-37094.95714940418,2.0
-41676.931625074736,1.0
-46944.84741815773,2.0
-30055.926715542595,2.0
-41027.86296014085,2.0
-50079.776211411474,2.0
-31848.898251873336,1.0
-52286.541703258925,2.0
-40570.06607990937,2.0
-57524.15774742742,2.0
-41211.9297907047,2.0
-33262.86617186158,2.0
-59255.3123572071,2.0
-54904.80673709672,2.0
-41626.57440455166,2.0
-48027.338548099375,2.0
-42495.74152248328,2.0
-44293.91420560164,2.0
-63136.40417358858,2.0
-37863.55387913956,2.0
-59784.522197168066,2.0
-44364.71598920447,2.0
-58695.71432177104,2.0
-40152.7479599348,2.0
-33643.26433914253,2.0
-41529.60729493818,2.0
-57764.258900834575,2.0
-40063.10147741955,2.0
-31061.252274238366,2.0
-60311.01127834336,2.0
-32428.56126342717,2.0
-41411.46207904068,2.0
-46290.91424731545,2.0
-34554.43641083324,2.0
-28181.581083253626,2.0
-52919.598128372534,2.0
-37694.94209062123,2.0
-35633.60154370008,2.0
-54163.35228722531,2.0
-56327.62741445499,2.0
-56603.248297797145,2.0
-61695.84913387804,2.0
-50953.1331665301,2.0
-42128.9172384798,2.0
-56928.92212958918,2.0
-32104.69309751664,2.0
-37586.596702971416,2.0
-29586.452068087816,2.0
-53789.90213767087,2.0
-57213.47849218123,1.0
-60597.15447946911,2.0
-53010.54438498499,2.0
-43405.737443548394,2.0
-40655.86590436488,2.0
-34790.530833523495,2.0
-37243.27297861662,2.0
-35850.49701573914,1.0
-41389.8575835389,2.0
-30373.14777249467,2.0
-37250.493979547464,2.0
-29000.068278536288,2.0
-41597.22148764267,2.0
-60189.69767609934,2.0
-55489.17293580669,2.0
-52124.60651364748,2.0
-56528.86127177223,2.0
-29087.917159182984,2.0
-28843.05147751742,2.0
-53924.504476558395,2.0
-29849.73331100489,2.0
-50563.38290537672,2.0
-54504.16078027396,2.0
-50600.31834238082,2.0
-36420.646679111116,2.0
-40192.467695807616,2.0
-62633.947164393045,2.0
-41949.03096969674,2.0
-56327.286304475245,2.0
-29222.059340936117,2.0
-41057.52525292468,2.0
-30364.78464498195,2.0
-36793.098364106525,2.0
-47977.75221551909,2.0
-57851.48644218047,2.0
-32186.714110750665,2.0
-38111.93791245052,2.0
-58437.21122217857,2.0
-53095.59691229255,2.0
-52769.648712329494,2.0
-59515.121035724274,2.0
-34696.55781776325,2.0
-43169.098698826434,2.0
-49197.21741432236,2.0
-53016.21038241127,3.0
-50448.978294125096,2.0
-41373.45292150728,2.0
-30116.751723636276,2.0
-43545.49912575201,2.0
-51005.86411111688,2.0
-61182.94438322491,2.0
-45463.6518478011,2.0
-34683.3041338681,2.0
-35865.29092028302,2.0
-40894.848424005744,2.0
-39160.98465412491,2.0
-28666.921177091066,2.0
-52707.953657615304,2.0
-56028.57422641721,2.0
-30649.151902846956,2.0
-37306.65380609137,2.0
-40962.56531427613,2.0
-59297.43225146085,2.0
-30981.202626034163,2.0
-34733.24213834224,2.0
-53355.563963905646,2.0
-40925.07170232874,2.0
-29666.13173000049,2.0
-54144.05789355775,2.0
-34736.071551001085,2.0
-33422.242274194716,2.0
-39632.696065426135,2.0
-58222.24505050633,2.0
-43926.07951457607,2.0
-47955.38733690642,2.0
-31957.436445183168,2.0
-51312.655717567024,2.0
-41967.481148913736,2.0
-56339.75393070998,2.0
-29584.31934614083,2.0
-59704.52708303983,2.0
-53890.674562661006,2.0
-30044.089432774574,2.0
-60998.174999088944,2.0
-32379.304546408846,2.0
-42881.040397029996,2.0
-56801.042517538706,2.0
-39465.41482008598,2.0
-49290.87062931832,2.0
-31261.053190312366,2.0
-60048.603666864445,2.0
-46711.457251840286,2.0
-44330.86231181479,2.0
-35258.109515883065,2.0
-44448.7214880229,2.0
-51194.4850547089,2.0
-53381.310509580064,2.0
-51610.46220065802,1.0
-39566.74162832049,2.0
-52076.43678097206,2.0
-49394.92536013533,2.0
-57475.5622617165,2.0
-34811.152774574046,2.0
-57069.9394562371,1.0
-30556.612785546302,2.0
-46602.9649567614,2.0
-40822.64442115769,2.0
-40302.587742435964,2.0
-55496.392829345845,2.0
-60673.72611993522,2.0
-52368.28312667586,2.0
-36973.696449559095,2.0
-55779.41123524647,2.0
-41361.314962524084,2.0
-57607.95717829146,2.0
-62330.085797848675,2.0
-38999.61262179142,2.0
-44630.997926779644,2.0
-39783.371318995356,2.0
-30137.881528279075,2.0
-37879.07915036447,2.0
-31505.795690998686,2.0
-51474.15481921501,2.0
-43648.316401477576,2.0
-43117.75040256385,2.0
-60972.111146908894,2.0
-46767.49739782015,2.0
-48518.24833265154,2.0
-32715.27200027633,2.0
-58670.60852992091,2.0
-37995.45828715648,2.0
-40757.37161570125,2.0
-57146.6896247577,2.0
-55047.096697255925,2.0
-56591.10000949039,2.0
-53243.052550053864,2.0
-44774.867277395526,2.0
-61316.69459749997,2.0
-41876.65774107484,2.0
-59694.307005920506,2.0
-51053.52829651395,2.0
-29263.216641459367,2.0
-62147.515336233046,2.0
-56452.31534291727,2.0
-31288.258172117603,2.0
-50648.850768977514,2.0
-34015.60604774245,2.0
-41443.19506393776,2.0
-43905.267875929,2.0
-29607.009075047736,1.0
-41144.74306419523,2.0
-44612.4504411819,2.0
-63327.56559056968,2.0
-55675.67747754898,2.0
-36957.650159676385,2.0
-60998.94131029575,2.0
-50296.63926617308,2.0
-35109.70719122664,2.0
-36145.37021157051,2.0
-53675.57322811529,1.0
-51434.15130721681,2.0
-52032.28914270199,2.0
-29814.718586259103,2.0
-50818.21355016027,2.0
-40096.331550601055,2.0
-59684.00691924698,2.0
-48750.39751880299,2.0
-36820.725052440066,2.0
-48632.072389826935,2.0
-60885.557183906305,1.0
-54188.47839516563,2.0
-35765.316317452,2.0
-61437.05968409229,2.0
-39549.712829560245,2.0
-53930.05493462998,2.0
-50414.55621730928,2.0
-48863.22117807697,2.0
-44262.26770409985,2.0
-41054.656856096415,2.0
-54218.752208038386,2.0
-41821.255672233856,2.0
-34684.8195291131,2.0
-55248.12590375973,2.0
-32617.744711068524,2.0
-46663.892518670706,2.0
-41076.201551169004,2.0
-32216.486633662214,2.0
-30077.18979270423,2.0
-47749.53354992128,2.0
-60318.85143148237,1.0
-41619.731288322415,2.0
-54017.64295740878,2.0
-41642.08847682504,1.0
-52201.546113125594,2.0
-56986.98501494509,2.0
-30401.580993431307,2.0
-37899.14210268888,2.0
-43880.79439051768,2.0
-47847.64418360652,2.0
-51970.819901541996,2.0
-29974.40445428997,2.0
-54136.10049551941,2.0
-39525.1697086324,2.0
-44620.079797467515,2.0
-57764.06540848039,2.0
-42677.73897178548,2.0
-43525.687136654655,2.0
-42790.2895974976,1.0
-29749.903136275054,2.0
-42547.86962377848,2.0
-55220.760282175615,2.0
-43871.3351871872,2.0
-37868.30495576351,2.0
-53456.75359537686,2.0
-33366.03381046423,2.0
-29357.38768363239,2.0
-55038.68055934126,1.0
-52916.04293296448,2.0
-41694.029263026954,2.0
-34745.25905415698,2.0
-29132.891579542666,2.0
-29734.83568613965,2.0
-44312.32180593303,2.0
-55001.68149841634,2.0
-56631.11934437495,2.0
-38835.84957966708,2.0
-47415.480418878695,2.0
-54771.44103876272,2.0
-45229.854434295405,2.0
-41941.724742676044,2.0
-40213.42462544196,2.0
-58233.926915467746,2.0
-34532.925327425735,2.0
-40569.70204217987,2.0
-43026.87485766543,2.0
-47813.108329839306,2.0
-41930.63422733403,2.0
-33225.31035405608,2.0
-50416.68131683416,2.0
-61389.233316300466,2.0
-52150.08964299034,2.0
-57910.86958864501,2.0
-30584.773390876875,2.0
-52271.377553655664,2.0
-41820.2433432948,2.0
-29763.65368091548,2.0
-32187.933404216048,2.0
-50658.569394129256,2.0
-37416.78930498458,2.0
-43128.224557383,2.0
-59594.52586530019,2.0
-40536.54875358819,2.0
-33748.16583940909,2.0
-57001.55147638193,2.0
-57921.965568468004,2.0
-29194.354847583214,2.0
-29233.0941249408,2.0
-41089.10855675669,2.0
-51515.744350004796,2.0
-35726.568301286214,2.0
-55617.92289930489,2.0
-45179.24933312709,2.0
-52583.5101338192,2.0
-40987.0632310973,1.0
-62057.24582342803,2.0
-51023.417170484056,2.0
-29245.180382453647,2.0
-42272.37215332561,2.0
-54456.114402048195,2.0
-35389.68128271671,2.0
-53984.218501884665,2.0
-52581.31617701188,2.0
-47253.05070474727,2.0
-33367.5940029864,2.0
-29900.09900756424,2.0
-49597.80915013062,2.0
-54768.8289321431,2.0
-36447.22847971148,2.0
-35950.02780735348,2.0
-31589.065758773817,2.0
-38766.65400398582,2.0
-39733.905611522525,2.0
-31905.2314163356,2.0
-29163.573941335013,2.0
-60668.247757828794,2.0
-32656.354922438935,2.0
-31697.37927449724,2.0
-61805.224440487276,2.0
-31549.37191656978,2.0
-42277.77784816994,2.0
-41611.53545441438,2.0
-31088.7752400826,2.0
-29245.933176019094,2.0
-35319.681160190026,2.0
-48562.484330278676,2.0
-31672.591743038258,1.0
-41367.912860047916,2.0
-60369.058679787566,2.0
-41537.56480516104,2.0
-35386.27948603262,2.0
-30785.939814909725,2.0
-45221.364325060305,2.0
-49200.80920559433,3.0
-51055.8589144166,2.0
-30620.405658507196,2.0
-43372.84456490308,2.0
-30247.81032886587,2.0
